case,replica,ensemble,time_fs,temperature_k,potential_energy_ev_per_atom,total_energy_ev_per_atom,max_force_ev_per_angstrom,nearest_neighbor_distance_angstrom,rms_displacement_angstrom
ambient_fcc,0,nve,120,181.346132241,-3.72546601295,-3.70275774483,0.67975847766,2.74788001048,0.102860124362
ambient_fcc,1,nvt,5,377.497729651,-3.70755004883,-3.66027956362,0.918601539552,2.69406644459,0
ambient_fcc,1,nvt,10,377.297209248,-3.70959854126,-3.66235316533,0.891040968368,2.69994897981,0.0290631422904
ambient_fcc,1,nvt,15,400.899404138,-3.71028995514,-3.66008909865,0.910930366228,2.70356154647,0.0579445463005
ambient_fcc,1,nvt,20,399.786570765,-3.70989227295,-3.6598307661,0.910528248814,2.70266914077,0.0863805679022
ambient_fcc,1,nvt,25,364.681167517,-3.70841217041,-3.66274658257,0.843046199775,2.69914903348,0.113631566094
ambient_fcc,1,nvt,30,321.400105367,-3.70555615425,-3.66531024617,0.886638297715,2.69128468806,0.138061101047
ambient_fcc,1,nvt,35,267.605986914,-3.70243930817,-3.66892953088,1.0382237099,2.68245554252,0.159502013247
ambient_fcc,1,nvt,40,251.71947477,-3.69998431206,-3.66846385306,1.11805578993,2.67705976632,0.177597248091
ambient_fcc,1,nvt,45,253.835276569,-3.69911360741,-3.66732820648,1.21849918709,2.67300057297,0.193049134146
ambient_fcc,1,nvt,50,256.969626745,-3.70011663437,-3.66793874829,1.22656291054,2.67209350397,0.205822232093
ambient_fcc,1,nvt,55,281.869211961,-3.70225954056,-3.66696371394,1.10528210821,2.67398875506,0.215730009609
ambient_fcc,1,nvt,60,292.839202717,-3.70491623878,-3.66824674355,1.00124066177,2.68172575197,0.223587319681
ambient_fcc,1,nvt,65,325.132354392,-3.7075111866,-3.66679792413,0.926813822549,2.69055476378,0.2292610886
ambient_fcc,1,nvt,70,360.356388012,-3.70922827721,-3.66410424077,0.841273243283,2.70182640167,0.234191720989
ambient_fcc,1,nvt,75,360.53154566,-3.70952439308,-3.6643784233,0.824351897064,2.70573234957,0.238804598039
ambient_fcc,1,nvt,80,353.800378862,-3.7079885006,-3.66368541143,0.905498263332,2.70062204631,0.243668002781
