time,exact_position,float64_exact_position,low_precision_exact_position,float64_biased_position
42.3,-0.111269929273,-0.0541601533933,-0.048,0.360171333605
43.2,0.709296125226,0.749318787888,0.752,0.957631752075
44.1,0.993081013065,0.984295976282,0.98,0.814993282197
45,0.525321988818,0.472496229517,0.465,0.0424930508879
45.9,-0.339990243464,-0.397782363709,-0.401,-0.762847632564
46.8,-0.948004637721,-0.96626688118,-0.964,-0.978626949013
47.7,-0.838588022085,-0.801652983681,-0.794,-0.438081388491
48.6,-0.0945447098797,-0.0288318267396,-0.024,0.441032257233
49.5,0.721048153868,0.765863790452,0.765,0.979297259836
50.4,0.990966149975,0.979505102877,0.972,0.760719340517
51.3,0.510940720218,0.450004274802,0.443,-0.0457751104348
52.2,-0.355754460209,-0.420910946141,-0.423,-0.816892592867
53.1,-0.953221757663,-0.972484633736,-0.968,-0.956680445125
54,-0.829309832863,-0.786242550699,-0.779,-0.357104619846
54.9,-0.077792760122,-0.00348497186406,0,0.518456970942
55.8,0.732596322561,0.781916625305,0.779,0.99333277931
56.7,0.988571113767,0.974084769259,0.968,0.700518414359
57.6,0.496414994763,0.427223133451,0.423,-0.133686624628
58.5,-0.37141809548,-0.443769038208,-0.443,-0.864572906629
59.4,-0.958169375855,-0.97807743765,-0.973,-0.927280167096
60.3,-0.819797175167,-0.770326853985,-0.765,-0.273345545788
61.2,-0.0610188162325,0.021864122562,0.024,0.591842236387
62.1,0.743937366322,0.7974669764,0.795,0.999628955703
63,0.985896581583,0.968038458702,0.963,0.634859546556
63.9,0.481748919269,0.404167445327,0.4,-0.22055654765
64.8,-0.38697672074,-0.466341950593,-0.466,-0.905517082733
65.7,-0.96284609347,-0.983041698814,-0.978,-0.890655180999
66.6,-0.810052738483,-0.753916121458,-0.748,-0.187456757497
67.5,-0.0442276206618,0.047199166428,0.051,0.660616287734
68.4,0.755068078731,0.812504850601,0.811,0.998136733683
69.3,0.982943309586,0.961370056752,0.956,0.564254304344
70.2,0.466946640236,0.380852026728,0.376,-0.305708050797
71.1,-0.402425937143,-0.488615177247,-0.489,-0.939406113256
72,-0.967250588274,-0.987374227039,-0.984,-0.847090842698
72.9,-0.80007927783,-0.737020899161,-0.733,-0.100107439372
73.8,-0.0274239207384,0.0725038786528,0.075,0.724243286449
74.7,0.76598531283,0.827020584106,0.827,0.988867739585
75.6,0.979712132747,0.95408384873,0.95,0.489252793594
76.5,0.452012342672,0.357291860861,0.351,-0.38847769407
77.4,-0.417761376774,-0.510574404706,-0.515,-0.965975958956
78.3,-0.971381614995,-0.991072238109,-0.991,-0.796926574555
79.2,-0.789879612977,-0.719652044485,-0.714,-0.0119781552228
80.1,-0.0106124673257,0.0977619976473,0.105,0.782227496177
81,0.776685982022,0.841004848657,0.843,0.971894190822
81.9,0.976203964607,0.946184516978,0.942,0.410439372776
82.8,0.436950248909,0.333502088216,0.326,-0.468220595232
83.7,-0.432978703887,-0.532205521293,-0.537,-0.985019606477
84.6,-0.975238005679,-0.994133355569,-0.994,-0.740553220898
85.5,-0.779456627646,-0.701820719193,-0.697,0.0762444541989
86.4,0.00620198652046,0.122957291765,0.13,0.834117145164
87.3,0.787167060934,0.854448657534,0.857,0.947348333224
88.2,0.972419797022,0.937677137851,0.935,0.328428100053
89.1,0.421764617411,0.309497996835,0.302,-0.544315454268
90,-0.448073616129,-0.553494626185,-0.559,-0.996388681252
90.9,-0.97881867002,-0.996555612249,-0.996,-0.678410002836
91.8,-0.768813268699,-0.683538382244,-0.676,0.163873021018
92.7,0.0230146868962,0.148073569731,0.157,0.879507946141
93.6,0.797425586282,0.86734337133,0.871,0.915421410669
94.5,0.968360699877,0.928567178452,0.925,0.243857948981
95.4,0.406459741569,0.285295012489,0.276,-0.616169394116
96.3,-0.463041845757,-0.574428038346,-0.583,-0.999994603531
97.2,-0.982122595668,-0.998337451534,-0.999,-0.610981096161
98.1,-0.757952545304,-0.664816782433,-0.658,0.250224805719
99,0.0398208803931,0.173094691051,0.182,0.918046246245
99.9,0.8074586577,0.879680703505,0.885,0.876362175049
100.8,0.964027820792,0.918860493123,0.918,0.157387830073
101.7,0.391039948489,0.260908688762,0.254,-0.68322257994
102.6,-0.477879160846,-0.59499230532,-0.602,-0.995809278529
103.5,-0.98514884851,-0.999477728357,-1,-0.538791858992
104.4,-0.746877528083,-0.645667950837,-0.639,0.334627016561
105.3,0.0566158154428,0.19800457638,0.207,0.94943178243
106.2,0.817263438565,0.891452725707,0.895,0.830474948169
107.1,0.959422384788,0.90856331968,0.903,0.0696914570445
108,0.375509597767,0.236354697058,0.226,-0.74495258097
108.9,-0.492581366481,-0.615174211873,-0.622,-0.983865315325
109.8,-0.987896572945,-0.999975709942,-0.997,-0.462404738564
