time_step,replica_index,time,relative_energy_error
0.0015,2,0.195,-5.26376806566e-06
0.0015,2,0.21,-4.59469955732e-06
0.0015,2,0.225,-5.30982220474e-06
0.0015,2,0.24,-6.62769059647e-06
0.0015,2,0.255,-7.32680352842e-06
0.0015,2,0.27,-6.32273438207e-06
0.0015,2,0.285,-4.86013634337e-06
0.0015,2,0.3,-4.29662484912e-06
0.0015,2,0.315,-5.75367514508e-06
0.0015,2,0.33,-7.42642946375e-06
0.0015,2,0.345,-8.48713327083e-06
0.0015,2,0.36,-7.14543881836e-06
0.0015,2,0.375,-4.21760039849e-06
0.0015,2,0.39,-2.64513370595e-06
0.0015,2,0.405,-4.55229344877e-06
0.0015,2,0.42,-7.01769053104e-06
0.0015,2,0.435,-8.41153019865e-06
0.0015,2,0.45,-7.83257756848e-06
0.0015,2,0.465,-6.63754796475e-06
0.0015,2,0.48,-4.5973430111e-06
0.0015,2,0.495,-1.5669036484e-06
0.0015,2,0.51,-1.00102373845e-06
0.0015,2,0.525,-4.79610999519e-06
0.0015,2,0.54,-6.92806177692e-06
0.0015,2,0.555,-6.51394562388e-06
0.0015,2,0.57,-5.35043759358e-06
0.0015,2,0.585,-5.27988108157e-06
0.0015,2,0.6,-5.30240755037e-06
0.0015,2,0.615,-4.86109520091e-06
0.0015,2,0.63,-4.07420397367e-06
0.0015,2,0.645,-4.55729342195e-06
0.0015,2,0.66,-5.18446871795e-06
0.0015,2,0.675,-5.99482823536e-06
0.0015,2,0.69,-7.34905958618e-06
0.0015,2,0.705,-7.84246447139e-06
0.0015,2,0.72,-5.68241709554e-06
0.0015,2,0.735,-3.47877425634e-06
0.0015,2,0.75,-2.26871350035e-06
0.0015,2,0.765,-3.84438659783e-06
0.0015,2,0.78,-6.12865284458e-06
0.0015,2,0.795,-7.97465721988e-06
0.0015,2,0.81,-7.776301905e-06
0.0015,2,0.825,-5.01996958984e-06
0.0015,2,0.84,-1.81435964209e-06
0.0015,2,0.855,-2.75590796657e-06
0.0015,2,0.87,-4.8328419668e-06
0.0015,2,0.885,-5.72911090778e-06
0.0015,2,0.9,-6.94788377121e-06
0.0015,2,0.915,-6.89975144579e-06
0.0015,2,0.93,-5.61056690899e-06
0.0015,2,0.945,-3.71884644223e-06
0.0015,2,0.96,-1.63661452684e-06
0.0015,2,0.975,-3.23501615451e-06
0.0015,2,0.99,-4.66109414636e-06
0.0015,2,1.005,-5.83872712039e-06
0.0015,2,1.02,-5.8432877342e-06
0.0015,2,1.035,-4.96319592921e-06
0.0015,2,1.05,-3.75446185412e-06
0.0015,2,1.065,-4.72267649904e-06
0.0015,2,1.08,-5.5710587941e-06
0.0015,2,1.095,-5.1058673072e-06
0.0015,2,1.11,-2.83657040945e-06
0.0015,2,1.125,-2.00219984439e-06
0.0015,2,1.14,-3.45575579333e-06
0.0015,2,1.155,-2.22907813644e-06
0.0015,2,1.17,-2.66781257355e-06
0.0015,2,1.185,-6.53959125937e-06
0.0015,2,1.2,-6.49806391865e-06
0.0015,2,1.215,-3.20172146271e-06
0.0015,2,1.23,-6.66248858006e-07
0.0015,2,1.245,1.64706408435e-07
0.0015,2,1.26,-1.69615963463e-06
0.0015,2,1.275,-4.01979741046e-06
0.0015,2,1.29,-2.81022076513e-06
0.0015,2,1.305,6.47288103053e-09
0.0015,2,1.32,2.94849911022e-07
0.0015,2,1.335,-2.0943566981e-06
0.0015,2,1.35,-4.04832438162e-06
0.0015,2,1.365,-4.68037612782e-06
0.0015,2,1.38,-4.68373502708e-06
0.0015,2,1.395,-4.48313803782e-06
0.0015,2,1.41,-2.87047313396e-06
0.0015,2,1.425,-8.57434685063e-07
0.0015,2,1.44,4.95972256634e-07
0.0015,2,1.455,1.31305687206e-08
0.0015,2,1.47,-3.34237769967e-06
0.0015,2,1.485,-5.01971449166e-06
0.0015,2,1.5,-3.70688359641e-06
0.0015,2,1.515,-1.53788470272e-06
0.0015,2,1.53,6.61385870393e-09
0.0015,2,1.545,-5.06918648161e-07
0.0015,2,1.56,-1.87258466164e-06
0.0015,2,1.575,-2.6249342767e-06
0.0015,2,1.59,-2.61969956402e-06
0.0015,2,1.605,-1.21547547222e-06
0.0015,2,1.62,-4.06286685717e-07
0.0015,2,1.635,6.99544456587e-09
0.0015,2,1.65,-2.46503063954e-06
0.0015,2,1.665,-5.62723879557e-06
0.0015,2,1.68,-5.88155249177e-06
0.0015,2,1.695,-2.96532230682e-06
0.0015,2,1.71,1.22308247183e-06
0.0015,2,1.725,2.71700206847e-06
0.0015,2,1.74,8.54934028333e-09
0.0015,2,1.755,-2.82990080467e-06
0.0015,2,1.77,-3.46647257887e-06
0.0015,2,1.785,-2.24748807914e-06
0.0015,2,1.8,-1.16222766467e-06
0.003,0,0,0
0.003,0,0.03,-5.07312663751e-06
0.003,0,0.06,-3.00581563024e-05
0.003,0,0.09,-3.20923141709e-05
0.003,0,0.12,-2.17632172808e-05
0.003,0,0.15,-8.1542933841e-06
0.003,0,0.18,-1.9820086448e-05
0.003,0,0.21,-3.71483800983e-05
0.003,0,0.24,-2.02394689339e-05
0.003,0,0.27,-2.66346988003e-05
0.003,0,0.3,-2.6117557236e-05
0.003,0,0.33,-3.05933719639e-05
0.003,0,0.36,-2.77577321657e-05
0.003,0,0.39,-2.89808768617e-05
0.003,0,0.42,-2.91247963099e-05
0.003,0,0.45,-3.50500211794e-05
0.003,0,0.48,-3.87156336246e-05
0.003,0,0.51,-2.02983056642e-05
0.003,0,0.54,-2.87060559587e-05
0.003,0,0.57,-3.51079802251e-05
0.003,0,0.6,-2.93136602239e-05
0.003,0,0.63,-3.58397201406e-05
0.003,0,0.66,-3.62968404545e-05
0.003,0,0.69,-2.50296897876e-05
0.003,0,0.72,-3.25468350444e-05
0.003,0,0.75,-2.85701139349e-05
0.003,0,0.78,-2.62779897836e-05
0.003,0,0.81,-3.2049752497e-05
0.003,0,0.84,-4.85449988155e-05
0.003,0,0.87,-3.10634268664e-05
0.003,0,0.9,-3.74675530207e-05
0.003,0,0.93,-3.34016177858e-05
0.003,0,0.96,-3.71219655888e-05
0.003,0,0.99,-3.31367869028e-05
0.003,0,1.02,-3.26424902271e-05
0.003,0,1.05,-4.10142498819e-05
0.003,0,1.08,-3.22260126756e-05
0.003,0,1.11,-3.43453332769e-05
0.003,0,1.14,-3.78393889495e-05
0.003,0,1.17,-2.85571185828e-05
0.003,0,1.2,-4.44486634099e-05
0.003,0,1.23,-3.15216288896e-05
0.003,0,1.26,-4.03149945963e-05
0.003,0,1.29,-3.41823961433e-05
0.003,0,1.32,-3.15410243116e-05
0.003,0,1.35,-3.24550712821e-05
0.003,0,1.38,-3.86855748477e-05
0.003,0,1.41,-2.9964764187e-05
0.003,0,1.44,-2.96564774611e-05
0.003,0,1.47,-2.77175687465e-05
0.003,0,1.5,-3.86232580212e-05
0.003,0,1.53,-2.96510886552e-05
0.003,0,1.56,-2.96931324773e-05
0.003,0,1.59,-2.67663334337e-05
0.003,0,1.62,-3.17793763571e-05
0.003,0,1.65,-2.68722405234e-05
0.003,0,1.68,-3.32702001115e-05
0.003,0,1.71,-3.72002346601e-05
0.003,0,1.74,-2.98488589786e-05
0.003,0,1.77,-2.13773811496e-05
0.003,0,1.8,-5.088438048e-05
0.003,0,1.83,-3.64389663576e-05
0.003,0,1.86,-1.54182274604e-05
0.003,0,1.89,-3.70742133703e-05
0.003,0,1.92,-4.11169102832e-05
0.003,0,1.95,-3.68045023433e-05
0.003,0,1.98,-2.91600067152e-05
0.003,0,2.01,-3.77251574297e-05
0.003,0,2.04,-3.84304402879e-05
0.003,0,2.07,-1.48246734648e-05
0.003,0,2.1,-3.68657527799e-05
0.003,0,2.13,-4.28647209116e-05
0.003,0,2.16,-2.17003277866e-05
0.003,0,2.19,-3.40867352693e-05
0.003,0,2.22,-4.05518497464e-05
0.003,0,2.25,-3.60954463053e-05
0.003,0,2.28,-4.16139697218e-05
0.003,0,2.31,-4.85053703216e-05
0.003,0,2.34,-2.8758678561e-05
0.003,0,2.37,-4.41832825507e-05
0.003,0,2.4,-4.16967928525e-05
0.003,0,2.43,-3.18796747632e-05
0.003,0,2.46,-4.64187597527e-05
0.003,0,2.49,-4.05799053323e-05
0.003,0,2.52,-2.43173630383e-05
0.003,0,2.55,-4.19717312943e-05
0.003,0,2.58,-4.49367148813e-05
0.003,0,2.61,-3.61156032713e-05
0.003,0,2.64,-3.09828075165e-05
0.003,0,2.67,-4.4407960226e-05
0.003,0,2.7,-4.41384911431e-05
0.003,0,2.73,-3.23275449219e-05
0.003,0,2.76,-3.28395056064e-05
0.003,0,2.79,-3.68231892036e-05
0.003,0,2.82,-4.32702828617e-05
0.003,0,2.85,-2.89203815402e-05
0.003,0,2.88,-3.58836865883e-05
0.003,0,2.91,-3.66351356247e-05
0.003,0,2.94,-3.34366385123e-05
