time,position,velocity,exact_position,exact_velocity,energy
43.2,0.758380642972,0.648544688022,0.709296125226,0.704910637414,0.497875705998
44,0.995828832596,-0.0907837364768,0.999843308648,-0.0177019251054,0.499958375319
44.8,0.627305776961,-0.774869400331,0.683898957636,-0.729576737393,0.496967562689
45.6,-0.122938765721,-0.987439719317,-0.046889324047,-0.998900090745,0.495075569701
46.4,-0.79837390892,-0.599143647667,-0.749235170956,-0.662304052986,0.498187004492
47.2,-0.987990991892,0.153736989504,-0.997105016921,0.0760367360584,0.499880631
48,-0.576406229662,0.813067217285,-0.640144339469,0.768254661324,0.496661220708
48.8,0.185927164592,0.977638367993,0.105119304404,0.994459618005,0.495172844553
49.6,0.835122124039,0.547307342872,0.786618988789,0.617438714753,0.49848714481
50.4,0.976137387456,-0.216065366969,0.990966149975,-0.134112227646,0.499764220996
51.2,0.523163835869,-0.847960261351,0.594206542058,-0.804312492366,0.496368501996
52,-0.248159848511,-0.963863331957,-0.162990780796,-0.98662759204,0.495307916552
52.8,-0.868475922443,-0.493246466197,-0.821320083142,-0.570467633637,0.498771252139
53.6,-0.960316199155,0.277515530491,-0.981447644097,0.191730336399,0.499611036012
54.4,-0.467795003297,0.879406707128,-0.546242233889,0.837627257147,0.496094160826
55.2,0.309383868053,0.946170600879,0.220306385538,0.975430723573,0.495478591889
56,0.898299735108,0.437180752144,0.853220107723,0.521551002087,0.49903471207
56.8,0.940591733401,-0.337837711256,0.968581961662,-0.248694558732,0.499423564045
57.6,0.410524782733,-0.907278738169,0.496414994763,-0.86808533738,0.495842652986
58.4,-0.369350373582,-0.924632088195,-0.276870646719,-0.960907198946,0.495682098492
59.2,-0.924472340905,-0.379338084027,-0.882210269143,-0.47085564775,0.499273245545
60,-0.917044161768,0.396786725223,-0.952412980415,0.304810621102,0.499204849973
60.8,-0.351585953299,0.931463066508,-0.444894757906,0.895582857355,0.495618063413
61.6,0.427815626724,0.899335338812,0.332490654842,0.943106549889,0.495915131052
62.4,0.946887359306,0.319953567723,0.908191697954,0.418554464518,0.499482978356
63.2,0.889769195134,-0.454122969687,0.932995843833,-0.359887142574,0.498958446103
64,0.291218076301,-0.951861393121,0.39185723043,-0.920026038197,0.49542403984
64.8,-0.484541991059,-0.87038317327,-0.38697672074,-0.922089484597,0.496173904705
65.6,-0.965453682784,-0.259268576067,-0.931075785831,-0.364825822878,0.499660504068
66.4,-0.858877694652,0.509613397169,-0.910396773058,0.413736287513,0.498688354472
67.2,-0.229666521519,0.968390807476,-0.337483294084,0.941331517699,0.495263733556
68,0.53929889801,0.837893269825,0.440143022496,0.897927680689,0.496454216507
68.8,0.980095847118,0.197529767773,0.950784487775,0.30985296159,0.499802939348
69.6,0.82449522115,-0.56303246265,0.884692841056,-0.466174406187,0.498398961848
70.4,0.167181469877,-0.980984124524,0.281958388375,-0.959426634623,0.495139748219
71.2,-0.591863784009,-0.801997686135,-0.49180823918,-0.87070354075,0.496751513694
72,-0.990754338132,-0.134988084875,-0.967250588274,-0.253823362762,0.499907970793
72.8,-0.78676152478,0.614163040319,-0.85597170976,0.517022661099,0.498094968484
73.6,-0.104016896571,0.98959015778,-0.225471878129,0.974249676507,0.495054097574
74.4,0.642022995121,0.762842322501,0.541796169237,0.840509911304,0.497060967631
75.2,0.997385833585,0.0718977327481,0.980417930541,0.19692811245,0.499973892505
76,0.74582997699,-0.662797306096,0.824331331108,-0.566107636898,0.497781311773
76.8,0.0404295387618,-0.994173927375,0.168216407674,-0.985750090129,0.495008172738
77.6,-0.689572655458,-0.720586328844,-0.58993633141,-0.807449766167,0.497377552236
78.4,-0.999963379266,-0.00851514687625,-0.990241608036,-0.139361248969,0.499999633799
79.2,-0.701866947136,0.708737582348,-0.789879612977,0.613261931807,0.497463086057
80,0.02332214795,0.994716802231,-0.110387243839,0.993888653923,0.495002719613
80.8,0.734319495847,0.67540145783,0.636064546159,0.771635855258,0.49769612561
81.6,0.998476498545,-0.0549020494508,0.996688117613,0.0813191011388,0.499984776591
82.4,0.655051126261,-0.751797141365,0.752734051176,-0.658324728535,0.49714545989
83.2,-0.0869790400365,-0.991216575794,0.0521816100037,-0.998637611738,0.495037826767
84,-0.776081639389,-0.627471366767,-0.680023495587,-0.733190320073,0.498011513555
84.8,-0.992931234963,0.118096092267,-0.999735473783,-0.0229996187091,0.499929562187
85.6,-0.605572800791,0.791800964329,-0.713021328726,0.701142342739,0.496833592085
86.4,0.15028239927,0.983687474997,0.00620198652048,0.999980767497,0.495112923998
87.2,0.814689340709,0.576990871119,0.721663259966,0.692244277127,0.498318593609
88,0.983350127659,-0.180810124629,0.999373283695,-0.0353983027337,0.499834887368
88.8,0.553633079104,-0.828586452692,0.670876883819,-0.741568747155,0.496532547931
89.6,-0.212974924383,-0.972160102436,-0.0645644314896,-0.997913540436,0.495226791592
90.4,-0.849985675899,-0.524165152656,-0.760841829027,-0.648937370786,0.498612378246
91.2,-0.969772119766,0.242789240634,-0.995602782581,0.0936755000911,0.499702289821
92,-0.499443074107,0.862004089068,-0.62644444791,0.779466069616,0.496247216921
92.8,0.274801796889,0.956681311985,0.122706682796,0.992442980728,0.495377580138
93.6,0.881827180349,0.469208925488,0.797425586282,0.60341729702,0.49888809588
94.4,0.952252400118,-0.303781521501,0.988436829539,-0.151633221988,0.499533923168
95.2,0.443223045152,-0.891918044959,0.57987555553,-0.814705063258,0.495982233339
96,-0.335511716814,-0.937314018353,-0.180430449291,-0.983587745434,0.495562840561
96.8,-0.910084431868,-0.412345563335,-0.831289764713,-0.555839299693,0.499141268366
97.6,-0.930862178934,0.363539059514,-0.977899863683,0.209073806604,0.499332521981
98.4,-0.385201502779,0.918206732841,-0.531329027483,0.847165547313,0.495741900989
99.2,0.394857924119,0.914136941362,0.237538867047,0.971378034877,0.495779563901
100,0.934642576732,0.353806191612,0.862318872288,0.50636564111,0.499367783731
100.8,0.905688398377,-0.421818965665,0.964027820792,-0.265801355789,0.499101357375
101.6,0.325614279912,-0.940763300363,0.480970429198,-0.876736816973,0.495530123296
102.4,-0.452599201679,-0.887244285985,-0.293837170752,-0.955855489645,0.496024230187
103.2,-0.955401796511,-0.293828747999,-0.890407085835,-0.455165048631,0.499563962964
104,-0.876833379174,0.478384356888,-0.946868010751,0.321622403163,0.498844183874
104.8,-0.264703573302,0.95949606466,-0.428971506078,0.90331802095,0.495350339909
105.6,0.508500855726,0.856745359444,0.349133357944,0.937073048578,0.496292865601
106.4,0.972277713796,0.23265701533,0.915458611952,0.402412139235,0.499726619764
107.2,0.84441440472,-0.533005318895,0.926478956208,-0.376346573922,0.498565178434
108,0.2027169591,-0.974328885002,0.375509597767,-0.926818505418,0.495205470828
108.8,-0.562335669781,-0.82276412692,-0.403238843831,-0.915094768221,0.496581107028
109.6,-0.985201735151,-0.170539630715,-0.9373880137,-0.348286823998,0.499853112295
110.4,-0.808563244378,0.585459840675,-0.902930192982,0.429787234107,0.498268872601
111.2,-0.139906386563,0.985201472273,-0.320767033345,0.947158123187,0.495097868985
112,0.613884828191,0.785438707691,0.455969104444,0.889995604367,0.496884272911
112.8,0.994121329919,0.107729074938,0.956120501988,0.292973694517,0.499941386093
113.6,0.769425617885,-0.635534716878,0.876302032914,-0.481762127103,0.497960078907
114.4,0.0765271539907,-0.992069634025,0.264930509504,-0.96426750704,0.495029282026
115.2,-0.662938805523,-0.744920813731,-0.50714430595,-0.861861156418,0.497197439299
116,-0.999000243734,-0.0444806462292,-0.971592190629,-0.236661393364,0.499990007435
116.8,-0.72716060307,0.683026414401,-0.846685289971,0.532093995218,0.497643812713
117.6,-0.0128368710423,0.994905454098,-0.208190453828,0.978088306307,0.495000823926
118.4,0.709298218195,0.70137513307,0.556589917963,0.830787375459,0.497515519812
119.2,0.999818645886,-0.018948577413,0.983750314228,0.179541970739,0.499998186623
120,0.681939989267,-0.727741899665,0.814180970527,-0.580611184212,0.497325210745
120.8,-0.0509055883345,-0.993697406088,0.15074037535,-0.988573385864,0.495012956895
121.6,-0.752774634885,-0.654978660402,-0.604137308775,-0.796880237015,0.497833348255
122.4,-0.996573209916,0.0823007831366,-0.992553408131,-0.121810229485,0.499965790814
123.2,-0.633947579062,0.769499423217,-0.778899928885,0.627148228717,0.497009447665
124,0.114441138117,0.988450400196,-0.0927762045977,0.995686986889,0.49506548387
124.8,0.793191342427,0.605919977683,0.649624320463,0.760255379634,0.498145762529
125.6,0.989277127144,-0.145318471134,0.997971449842,0.0636630607274,0.499893346171
126.4,0.583378441218,-0.80812925846,0.74096248922,-0.671546416541,0.496701652028
127.2,-0.177511533282,-0.979185763273,0.0344956253863,-0.999404848812,0.495157551722
128,-0.830384064071,-0.554398487621,-0.69289582192,-0.721037710502,0.498447688469
128.8,-0.977960053047,0.207745501271,-0.999985961407,-0.0052987723856,0.499782029327
129.6,-0.530438117801,0.843474391521,-0.70049803521,0.713654329957,0.496406822984
130.4,0.239860419462,0.965941152133,0.0239025993759,0.999714292057,0.495287665104
131.2,0.864201627201,0.500623603187,0.733804237922,0.679360979456,0.498734222262
132,0.962667986724,-0.269328134185,0.99859007244,-0.0530835871461,0.499633648263
132.8,0.47534178874,-0.875391159447,0.65764456879,-0.753328362098,0.496129749081
133.6,-0.301234374919,-0.948770400494,-0.082219305556,-0.996614261284,0.495453710743
134.4,-0.894506577787,-0.444813896447,-0.772210052428,-0.635367322837,0.499000710089
135.2,-0.94346308393,0.329816062631,-0.993788543548,0.111284907842,0.499450612954
136,-0.41831339721,0.903749834134,-0.612548239496,0.790433206723,0.495874930491
136.8,0.361383940591,0.927743300169,0.140255607036,0.990115328987,0.495652991763
137.6,0.921175739078,0.387196210154,0.807982284387,0.589206778742,0.499242823711
138.4,0.920423404436,-0.388963428872,0.985597750097,-0.169106697102,0.499235896217
139.2,0.359584739399,-0.928435149614,0.565362846032,-0.824842319675,0.495646505924
140,-0.420064634043,-0.902945317389,-0.197813574004,-0.98023965944,0.495882271484
140.8,-0.944100712259,-0.328004735728,-0.84099893445,-0.541036775326,0.499456630774
141.6,-0.893642594755,0.446529823988,-0.974045626365,0.226351756694,0.498992985436
142.4,-0.299394522357,0.949346770565,-0.516249311748,0.856438350449,0.4954481854
143.2,0.477037943181,0.874477245421,0.254696907983,0.967020933105,0.496137825996
144,0.963188317054,0.267480061372,0.871147401032,0.491021593898,0.499638658671
144.8,0.863229507502,-0.502281265033,0.959171570276,-0.282824855298,0.498725825913
145.6,0.237987393749,-0.966399700131,0.46537513582,-0.885113542412,0.495283189998
146.4,-0.532072295702,-0.842454794885,-0.310711611297,-0.950504231766,0.496415504639
147.2,-0.978360970455,-0.205868194179,-0.898324864346,-0.439331808657,0.499785950943
148,-0.82930775896,0.555991146081,-0.941026309029,0.338333394324,0.498438756795
148.8,-0.175612947472,0.979524625394,-0.412913822,0.910770100301,0.495154199537
149.6,0.584944000339,0.807008123443,0.365666648691,0.93074588478,0.496710797418
150.4,0.989557002072,0.14341956022,0.922438637054,0.386143704947,0.499896115302
151.2,0.792015226626,-0.607441159278,0.919671726103,-0.392688064763,0.498136440596
152,0.112524709154,-0.98866819911,0.359044286891,-0.933320523749,0.495063309051
152.8,-0.635438156071,-0.768281306756,-0.419374598843,-0.907813276971,0.497018908251
153.6,-0.996730904791,-0.0803879866656,-0.943406480378,-0.331638678052,0.499967362483
154.4,-0.751503488806,0.656422182174,-0.8951806502,0.445703492816,0.497823787468
155.2,-0.0489791056895,0.993793256535,-0.303950249765,0.9526879057,0.495011994764
156,0.683349525602,0.726431752886,0.471652293561,0.881784618815,0.497334832871
156.8,0.999853519745,0.0170296700906,0.961156884571,0.276002614554,0.499998535305
157.6,0.707937208506,-0.702735127715,0.867636606871,-0.4971988721,0.497505875456
158.4,-0.0147655770361,-0.994878966487,0.247819605993,-0.968806194698,0.495001090111
159.2,-0.728483369565,-0.681629562494,-0.522321442465,-0.852748679707,0.497653440099
160,-0.99891215483,0.0463978648599,-0.975629312795,-0.219425258379,0.499989127465
160.8,-0.661493464151,0.74619175345,-0.837133533656,0.546998580281,0.497187868016
161.6,0.0784502439627,0.991920916016,-0.190843786239,0.981620420149,0.495030772204
162.4,0.770656238054,0.634056837453,0.571209241035,0.820804485219,0.497969555186
163.2,0.993910636295,-0.109636812197,0.98677440758,0.16209956368,0.499939291765
164,0.612361029834,-0.786615426654,0.803775459711,-0.594932778023,0.496874930154
164.8,-0.141816043969,-0.984931128342,0.133217103599,-0.991086879799,0.495100558952
165.6,-0.809696716274,-0.583906940684,-0.618148959957,-0.78606097938,0.498278043862
166.4,-0.984869293189,0.172430132462,-0.994554159155,-0.104221036782,0.499849837623
167.2,-0.560739608032,0.823841842264,-0.767676151027,0.640837988218,0.49657214454
168,0.204605421994,0.973938013981,-0.0751360908984,0.997173288774,0.495209316894
168.8,0.845446121262,0.531383710216,0.662980513741,0.748636653123,0.49857389572
169.6,0.97182487473,-0.234522597477,0.998942035078,0.0459870694139,0.499722217936
170.4,0.506839017898,-0.857719690713,0.728958722435,-0.684557653515,0.49628442895
171.2,-0.266563165885,-0.958986255276,0.0167988304364,-0.999858889692,0.495355279607
172,-0.877759146871,-0.476700630673,-0.705551006686,-0.708659140182,0.4988523056
172.8,-0.954830400939,0.295661827748,-0.999923070726,0.0124037344815,0.499558505473
173.6,-0.450878342438,0.888111272937,-0.687755217726,0.725942670251,0.496016456398
174.4,0.327437443729,0.940136624773,0.0415957215701,0.999134523449,0.495536076398
175.2,0.906504454377,0.420079965545,0.745715254322,0.666264781803,0.499108751629
176,0.933954947135,-0.355599318272,0.997493920327,-0.0707522360803,0.499361359216
176.8,0.393085038026,-0.914893060063,0.644206159328,-0.76485189696,0.495772579236
177.6,-0.386980827444,-0.917465738215,-0.0998484135141,-0.995002660458,0.495748770804
178.4,-0.931565206316,-0.361751853787,-0.783336278554,-0.621598161758,0.499339068668
179.2,-0.909283363169,0.414091448608,-0.991662868373,0.128859440828,0.499133981173
180,-0.333694009898,0.937956195502,-0.598460069058,0.801152635734,0.495556758461
180.8,0.444951298466,0.891065743126,0.157760577595,0.987477392226,0.49598990829
181.6,0.952839541374,0.301953374398,0.81828577482,0.574811613251,0.499539515958
182.4,0.88091592855,-0.470900473092,0.982449801365,-0.186527177101,0.498880064366
183.2,0.272946657357,-0.957206937404,0.550672961597,-0.834721084774,0.495372499389
184,-0.501113231454,-0.861043944273,-0.215134707365,-0.976584383291,0.496255572354
184.8,-0.970240988417,-0.240927582797,-0.850444549665,-0.52606469939,0.499706837878
185.6,-0.848967944853,0.525795487168,-0.969886139994,0.243558772059,0.498603732857
186.4,-0.211089892589,0.972567039681,-0.501007812409,0.865442760618,0.495222794714
187.2,0.555238352004,0.827522367516,0.271775131314,0.962360783698,0.496541448138
188,0.983698817953,0.178922522906,0.879702927248,0.475523669012,0.499838316822
188.8,0.81356926706,-0.578553365921,0.954014731979,-0.29975972239,0.498309474762
189.6,0.148375137068,-0.983974070041,0.449634001923,-0.893212888574,0.495110075906
190.4,-0.607106664492,-0.790637263826,-0.327488680198,-0.9448551023,0.49684289251
191.2,-0.993158329621,-0.116190218957,-0.905961123382,-0.423360889693,0.499931817338
192,-0.774863775761,0.628959670983,-0.934889705937,0.354938357652,0.498002069355
192.8,-0.0850572996366,0.991381663751,-0.396726737871,0.917936760054,0.495036173721
193.6,0.656507346258,0.750538555483,0.382085345833,0.92412704132,0.497155009478
194.4,0.998581074525,0.0529856511201,0.929129585841,0.3697542599,0.499985820812
195.2,0.733008792338,-0.676809522134,0.912576286784,-0.408906493956,0.497686509448
196,0.0213937404109,-0.994759712088,0.342466457746,-0.93953005557,0.495002288461
196.8,-0.703239604514,-0.707389226704,-0.435378929109,-0.900247292741,0.497472729707
197.6,-0.99994501151,0.0104342808829,-0.949129299782,-0.314886602279,0.49999945013
198.4,-0.688174439521,0.721908430053,-0.887150573284,0.461480075759,0.497367920296
199.2,0.0423567752826,0.994094484721,-0.287038213434,0.957919132301,0.495008970482
200,0.747113492479,0.661364661184,0.487187675007,0.873297297214,0.497790892853
200.8,0.99724459675,-0.0738118019661,0.965892057211,0.258945040146,0.499972483929
201.6,0.64054294991,-0.764073086836,0.858699278521,-0.51247980357,0.497051476353
202.4,-0.105935128676,-0.989388685516,0.230631040104,-0.97304127525,0.495056111257
203.2,-0.787950681435,-0.612651929231,-0.537334892474,-0.843368966307,0.498104331382
204,-0.990490806287,0.136889309426,-0.979360689609,-0.202120359313,0.499905360187
204.8,-0.59030792528,0.803132111062,-0.827319434169,0.56173174545,0.496742317233
205.6,0.169082900767,0.980661441549,-0.173437311509,0.984844911129,0.495142945137
206.4,0.825585185554,0.56144902741,0.58564955701,0.81056436905,0.498407954493
207.2,0.979711091408,-0.199410419987,0.989489262899,0.144606357421,0.499799169113
208,0.537673549667,-0.838926744388,0.793118059568,-0.609067930191,0.49644546423
