case,time_step_fs,time_fs,relative_energy_error
verlet_dt_0_5fs,0.5,3920,0.00486759834604
verlet_dt_0_5fs,0.5,3940,0.00476370572976
verlet_dt_0_5fs,0.5,3960,0.00471520984683
verlet_dt_0_5fs,0.5,3980,0.00470481369652
verlet_dt_0_5fs,0.5,4000,0.00462868882549
verlet_dt_0_5fs,0.5,4020,0.00467024770783
verlet_dt_0_5fs,0.5,4040,0.00463909930814
verlet_dt_0_5fs,0.5,4060,0.00462180131116
verlet_dt_0_5fs,0.5,4080,0.00453175792898
verlet_dt_0_5fs,0.5,4100,0.00458366445152
verlet_dt_0_5fs,0.5,4120,0.00453868030098
verlet_dt_0_5fs,0.5,4140,0.00451101223873
verlet_dt_0_5fs,0.5,4160,0.00463220050923
verlet_dt_0_5fs,0.5,4180,0.00467722180789
verlet_dt_0_5fs,0.5,4200,0.00468415271523
verlet_dt_0_5fs,0.5,4220,0.00473263166045
verlet_dt_0_5fs,0.5,4240,0.00467725152536
verlet_dt_0_5fs,0.5,4260,0.0047464525654
verlet_dt_0_5fs,0.5,4280,0.00474642592721
verlet_dt_0_5fs,0.5,4300,0.00465987329111
verlet_dt_0_5fs,0.5,4320,0.00464600691193
verlet_dt_0_5fs,0.5,4340,0.00463906659447
verlet_dt_0_5fs,0.5,4360,0.00479831716729
verlet_dt_0_5fs,0.5,4380,0.00475678715439
verlet_dt_0_5fs,0.5,4400,0.00473255217528
verlet_dt_0_5fs,0.5,4420,0.00472908681049
verlet_dt_0_5fs,0.5,4440,0.00473256321782
verlet_dt_0_5fs,0.5,4460,0.00469447661544
verlet_dt_0_5fs,0.5,4480,0.00470832324244
verlet_dt_0_5fs,0.5,4500,0.0047844976253
verlet_dt_0_5fs,0.5,4520,0.00471527109065
verlet_dt_0_5fs,0.5,4540,0.0046287422197
verlet_dt_0_5fs,0.5,4560,0.00458717993327
verlet_dt_0_5fs,0.5,4580,0.00460100490138
verlet_dt_0_5fs,0.5,4600,0.00454905202816
verlet_dt_0_5fs,0.5,4620,0.0044521019354
verlet_dt_0_5fs,0.5,4640,0.00449709467308
verlet_dt_0_5fs,0.5,4660,0.00453171869341
verlet_dt_0_5fs,0.5,4680,0.00462516630886
verlet_dt_0_5fs,0.5,4700,0.00467016770123
verlet_dt_0_5fs,0.5,4720,0.00479480888787
verlet_dt_0_5fs,0.5,4740,0.00484329282864
verlet_dt_0_5fs,0.5,4760,0.00490215651616
verlet_dt_0_5fs,0.5,4780,0.00489176545547
verlet_dt_0_5fs,0.5,4800,0.00486752884474
verlet_dt_0_5fs,0.5,4820,0.00489521425722
verlet_dt_0_5fs,0.5,4840,0.00507177129541
verlet_dt_0_5fs,0.5,4860,0.005057908796
verlet_dt_0_5fs,0.5,4880,0.00512023502145
verlet_dt_0_5fs,0.5,4900,0.00519294604338
verlet_dt_0_5fs,0.5,4920,0.00519296623712
verlet_dt_0_5fs,0.5,4940,0.00519645103675
verlet_dt_0_5fs,0.5,4960,0.00516875591975
verlet_dt_0_5fs,0.5,4980,0.00501986271854
verlet_dt_0_5fs,0.5,5000,0.00493328708539
verlet_dt_0_5fs,0.5,5020,0.00485360259388
verlet_dt_0_5fs,0.5,5040,0.00476358716479
verlet_dt_0_5fs,0.5,5060,0.00468048736026
verlet_dt_0_5fs,0.5,5080,0.00464243235876
verlet_dt_0_5fs,0.5,5100,0.00451441100226
verlet_dt_0_5fs,0.5,5120,0.00454215338647
verlet_dt_0_5fs,0.5,5140,0.00449023442263
verlet_dt_0_5fs,0.5,5160,0.00464947755726
verlet_dt_0_5fs,0.5,5180,0.00462519227479
verlet_dt_0_5fs,0.5,5200,0.00459747452029
verlet_dt_0_5fs,0.5,5220,0.00456283842529
verlet_dt_0_5fs,0.5,5240,0.00439320198061
verlet_dt_0_5fs,0.5,5260,0.00437588747355
verlet_dt_0_5fs,0.5,5280,0.00433433916746
verlet_dt_0_5fs,0.5,5300,0.00436897974088
verlet_dt_0_5fs,0.5,5320,0.00434480941142
verlet_dt_0_5fs,0.5,5340,0.00440024166742
verlet_dt_0_5fs,0.5,5360,0.00435179534993
verlet_dt_0_5fs,0.5,5380,0.00449025718875
verlet_dt_0_5fs,0.5,5400,0.00444520521127
verlet_dt_0_5fs,0.5,5420,0.00432054163308
verlet_dt_0_5fs,0.5,5440,0.00430321282005
verlet_dt_0_5fs,0.5,5460,0.0042962705978
verlet_dt_0_5fs,0.5,5480,0.00426511328313
verlet_dt_0_5fs,0.5,5500,0.00432397255049
verlet_dt_0_5fs,0.5,5520,0.00436207801928
verlet_dt_0_5fs,0.5,5540,0.00447634116941
verlet_dt_0_5fs,0.5,5560,0.00447290876618
verlet_dt_0_5fs,0.5,5580,0.0045525154057
verlet_dt_0_5fs,0.5,5600,0.00452825915694
verlet_dt_0_5fs,0.5,5620,0.00449361501324
verlet_dt_0_5fs,0.5,5640,0.00445208067758
verlet_dt_0_5fs,0.5,5660,0.00444172006904
verlet_dt_0_5fs,0.5,5680,0.00440015686721
verlet_dt_0_5fs,0.5,5700,0.00440012166425
