true_pmf_x,true_pmf_y,histogram_pmf_x,histogram_pmf_y,reweighted_pmf_x,reweighted_pmf_y,rdf_x,rdf_y,rdf_pmf_x,rdf_pmf_y,argon_rdf_x,argon_rdf_y,argon_rdf_pmf_x,argon_rdf_pmf_y
-2.35833333333,20.8094363474,-0.43,0.657694639818,-0.43,0.823053601595,0.88410041841,1.64093969172,0.88410041841,1.21013203689,1.035,1.8410552833,1.035,0.344411401775
-2.35416666667,20.6306787185,-0.37,0.855871568402,-0.37,0.991680004619,0.89539748954,1.73498255306,0.89539748954,1.15440373992,1.065,2.59252943633,1.065,0.104804842466
-2.35,20.45300625,-0.31,0.876167468022,-0.31,1.00494281979,0.906694560669,1.8386333043,0.906694560669,1.09637857117,1.095,2.95563117176,1.095,0.0130500975128
-2.34583333333,20.2764148585,-0.25,0.92193331908,-0.25,1.05410563922,0.917991631799,1.95214347963,0.917991631799,1.03647310819,1.125,3.01124983153,1.125,0
-2.34166666667,20.1009004678,-0.19,0.953650546607,-0.19,1.11316611253,0.929288702929,2.07564240458,0.929288702929,0.975130399054,1.155,2.79593334918,1.155,0.0519324629812
-2.3375,19.9264590088,-0.13,0.985366759987,-0.13,1.1228803892,0.940585774059,2.20911795104,0.940585774059,0.912807778709,1.185,2.4371097339,1.185,0.148079691969
-2.33333333333,19.7530864198,-0.07,1.08934223387,-0.07,1.25124681496,0.951882845188,2.35239848549,0.951882845188,0.849965657603,1.215,2.08224092519,1.215,0.258237376146
-2.32916666667,19.5807786461,-0.01,1.0332737384,-0.01,1.21013237424,0.963179916318,2.50513673603,0.963179916318,0.787057779102,1.245,1.72646378992,1.245,0.38939596814
-2.325,19.4095316406,0.05,1.03874122058,0.05,1.17394791278,0.974476987448,2.66679632479,0.974476987448,0.724523223767,1.275,1.42598650266,1.275,0.523243953559
-2.32083333333,19.2393413631,0.11,1.11860119641,0.11,1.23043571539,0.985774058577,2.83664170481,0.985774058577,0.66278024323,1.305,1.1655911198,1.305,0.664388803185
-2.31666666667,19.0702037809,0.17,0.942633910401,0.17,1.12862440368,0.997071129707,3.01373220098,0.997071129707,0.602221852835,1.335,0.96079377925,1.335,0.799645491253
-2.3125,18.9021148682,0.23,1.05421114235,0.23,1.14698857845,1.00836820084,3.19692078136,1.00836820084,0.543213006676,1.365,0.801721051113,1.365,0.92634483703
-2.30833333333,18.7350706067,0.29,0.895932817355,0.29,1.11623816478,1.01966527197,3.38485807815,1.01966527197,0.486089118599,1.395,0.674320215988,1.395,1.04748378139
-2.30416666667,18.5690669853,0.35,0.752705239033,0.35,0.970830250187,1.0309623431,3.57600203801,1.0309623431,0.43115567017,1.425,0.577638307014,1.425,1.15581381412
-2.3,18.4041,0.41,0.751881854878,0.41,0.913806483429,1.04225941423,3.76863341271,1.04225941423,0.378688651647,1.455,0.513143853687,1.455,1.2386879929
-2.29583333333,18.2401656542,0.47,0.581288614653,0.47,0.772252121364,1.05355648536,3.96087710828,1.05355648536,0.328935604662,1.485,0.488768575479,1.485,1.27275496692
-2.29166666667,18.0772599585,0.53,0.615884369758,0.53,0.74645593004,1.06485355649,4.15072920092,1.06485355649,0.282117067521,1.515,0.478331359406,1.515,1.2878647496
-2.2875,17.9153789307,0.59,0.506437387504,0.59,0.674834472283,1.07615062762,4.33608920904,1.07615062762,0.238428259426,1.545,0.491703024674,1.545,1.26856490048
-2.28333333333,17.7545185957,0.65,0.358283865476,0.65,0.504921063891,1.08744769874,4.51479699281,1.08744769874,0.198040874367,1.575,0.50452186312,1.575,1.25054952604
-2.27916666667,17.5946749858,0.71,0.316951174066,0.71,0.475851424746,1.09874476987,4.68467344457,1.09874476987,0.161104886464,1.605,0.531274670215,1.605,1.21438193854
-2.275,17.4358441406,0.77,0.148668386758,0.77,0.332614899511,1.110041841,4.84356394715,1.110041841,0.127750294922,1.635,0.554879193026,1.635,1.18395205471
