case,integrator,time_fs,volume_angstrom3,volume_ratio,pressure_pa,temperature_k,total_energy_ev_per_atom
isotropic_tau_2000fs,csvr_npt,20,9614.89550781,1,268366919.656,88.2110061949,-0.0563599374145
isotropic_tau_2000fs,csvr_npt,40,9620.17773438,1.00054937951,266268779.721,93.5064476222,-0.0556866629049
isotropic_tau_2000fs,csvr_npt,60,9643.95214844,1.00302204435,257120206.948,94.8128233073,-0.0556066911668
isotropic_tau_2000fs,csvr_npt,80,9657.47851562,1.0044288581,252748817.85,98.2357032265,-0.0551758594811
isotropic_tau_2000fs,csvr_npt,100,9666.20703125,1.0053366699,250749370.756,97.8784799361,-0.0552122611552
isotropic_tau_2000fs,csvr_npt,120,9682.02148438,1.00698145669,247230032.76,95.5399787796,-0.0554778883234
isotropic_tau_2000fs,csvr_npt,140,9710.10546875,1.00990233964,240004341.48,92.9955386061,-0.0557777071372
isotropic_tau_2000fs,csvr_npt,160,9728.95507812,1.01186279874,237046751.899,94.8789500501,-0.0554296607152
isotropic_tau_2000fs,csvr_npt,180,9740.37109375,1.01305012476,236367497.203,93.0109093486,-0.0555620826781
isotropic_tau_2000fs,csvr_npt,200,9767.51660156,1.01587340119,228037663.434,95.4367814224,-0.0552786141634
isotropic_tau_2000fs,csvr_npt,220,9773.18847656,1.01646330619,227097451.535,98.2171209029,-0.0548831894994
isotropic_tau_2000fs,csvr_npt,240,9769.88574219,1.01611980434,228589675.615,101.687639274,-0.0543945729733
isotropic_tau_2000fs,csvr_npt,260,9785.70800781,1.01776540368,220488245.458,101.79788909,-0.0545394197106
isotropic_tau_2000fs,csvr_npt,280,9788.88085938,1.01809539702,215304048.624,103.347889236,-0.0545284831896
isotropic_tau_2000fs,csvr_npt,300,9790.49609375,1.01826338994,210142644.279,105.629623528,-0.0544506832957
isotropic_tau_2000fs,csvr_npt,320,9809.140625,1.02020251983,199891464.683,107.21922594,-0.0544761037454
isotropic_tau_2000fs,csvr_npt,340,9812.9921875,1.02060310271,197826885.536,103.331628799,-0.0550115071237
isotropic_tau_2000fs,csvr_npt,360,9821.07519531,1.02144377828,197036080.697,104.914728483,-0.0547228697687
isotropic_tau_2000fs,csvr_npt,380,9832.7578125,1.02265883228,197130290.892,102.922325816,-0.0548033546656
isotropic_tau_2000fs,csvr_npt,400,9847.421875,1.02418397236,196997160.627,103.783304398,-0.0544865205884
isotropic_tau_2000fs,csvr_npt,420,9857.48632812,1.02523072873,198121714.392,104.500116265,-0.0542084965855
isotropic_tau_2000fs,csvr_npt,440,9864.55859375,1.02596628177,199351470.473,100.404612651,-0.0545887509361
isotropic_tau_2000fs,csvr_npt,460,9861.68261719,1.02566716499,203027284.558,101.404600612,-0.054339828901
isotropic_tau_2000fs,csvr_npt,480,9886.75195312,1.02827450856,196204235.701,100.861308154,-0.0544315474108
isotropic_tau_2000fs,csvr_npt,500,9922.62695312,1.03200569835,186051077.482,98.7374765965,-0.0547493537888
isotropic_tau_2000fs,csvr_npt,520,9927.11425781,1.03247240178,187021007.902,99.6415945238,-0.0545489629731
isotropic_tau_2000fs,csvr_npt,540,9970.24121094,1.03695783307,174359873.95,104.801021154,-0.0539481369779
isotropic_tau_2000fs,csvr_npt,560,9978.94921875,1.03786351195,173363712.896,99.135097815,-0.0546115590259
isotropic_tau_2000fs,csvr_npt,580,9981.96484375,1.0381771529,173267233.4,104.695227046,-0.0538615379483
isotropic_tau_2000fs,csvr_npt,600,9997.43847656,1.03978649258,168874419.611,103.433849662,-0.0540339360014
isotropic_tau_2000fs,csvr_npt,620,10003.6376953,1.04043124412,167512416.116,105.739989076,-0.0537174874917
isotropic_tau_2000fs,csvr_npt,640,10033.1865234,1.04350447858,158497138.366,101.696962986,-0.0543008893728
isotropic_tau_2000fs,csvr_npt,660,10045.5585938,1.04479123934,155897215.523,105.013708832,-0.0538369044662
isotropic_tau_2000fs,csvr_npt,680,10051.2871094,1.04538703527,156929927.87,108.622144355,-0.0532406875864
isotropic_tau_2000fs,csvr_npt,700,10063.1220703,1.04661793382,156984263.645,106.376178685,-0.0533830020577
isotropic_tau_2000fs,csvr_npt,720,10083.7978516,1.04876832446,154270142.105,102.246548407,-0.0537799457088
isotropic_tau_2000fs,csvr_npt,740,10073.4628906,1.04769343384,159810662.748,101.896558407,-0.0536741679534
isotropic_tau_2000fs,csvr_npt,760,10076.8076172,1.0480413031,157497085.304,96.8281265724,-0.0543901761994
isotropic_tau_2000fs,csvr_npt,780,10106.2460938,1.05110306041,142269999.638,98.4617073918,-0.0545654613525
isotropic_tau_2000fs,csvr_npt,800,10112.3779297,1.05174080378,131838485.203,101.185685072,-0.0546482037753
isotropic_tau_2000fs,csvr_npt,820,10133.7880859,1.0539675733,117076876.734,101.813447898,-0.0550221800804
isotropic_tau_2000fs,csvr_npt,840,10144.5810547,1.05509009915,107136261.887,104.735227143,-0.0549931535497
isotropic_tau_2000fs,csvr_npt,860,10149.1884766,1.0555692954,100987232.791,104.803914471,-0.0552341993898
isotropic_tau_2000fs,csvr_npt,880,10151.9990234,1.05586160715,97774965.4419,100.829445509,-0.05586829409
isotropic_tau_2000fs,csvr_npt,900,10165.3417969,1.05724932617,93430469.117,100.61752456,-0.0559463333338
isotropic_tau_2000fs,csvr_npt,920,10162.375,1.0569407636,94549088.5034,101.898178664,-0.0557510862127
isotropic_tau_2000fs,csvr_npt,940,10171.0585938,1.05784390329,91400056.9425,98.8988006771,-0.0561835886911
isotropic_tau_2000fs,csvr_npt,960,10166.1738281,1.05733586183,89615944.7728,99.2461360593,-0.0562898544595
isotropic_tau_2000fs,csvr_npt,980,10174.7988281,1.05823290746,82464851.3296,103.64860606,-0.055978029035
isotropic_tau_2000fs,csvr_npt,1000,10181.3935547,1.05891879391,76223691.7126,107.723993892,-0.0556938657537
isotropic_tau_2000fs,csvr_npt,1020,10185.5683594,1.05935299568,72708926.5139,105.145210055,-0.0561529165134
isotropic_tau_2000fs,csvr_npt,1040,10214.1201172,1.06232252955,64757501.8295,105.243394742,-0.056199031882
isotropic_tau_2000fs,csvr_npt,1060,10196.0498047,1.06044312145,70681372.7264,105.339467308,-0.0561155620962
isotropic_tau_2000fs,csvr_npt,1080,10199.1064453,1.06076102824,72505065.5502,99.8041193307,-0.0567170754075
isotropic_tau_2000fs,csvr_npt,1100,10211.0839844,1.06200675567,73089219.4287,102.122179208,-0.0562615282834
isotropic_tau_2000fs,csvr_npt,1120,10209.7509766,1.06186811581,78639019.3373,105.851765116,-0.0555356498808
isotropic_tau_2000fs,csvr_npt,1140,10216.9882812,1.06262083378,82890712.1233,104.625085827,-0.0554089685902
isotropic_tau_2000fs,csvr_npt,1160,10253.6601562,1.06643490279,78314451.7558,100.786986093,-0.0557049009949
isotropic_tau_2000fs,csvr_npt,1180,10242.8583984,1.06531146284,84363216.5975,104.058234541,-0.0551249692217
isotropic_tau_2000fs,csvr_npt,1200,10267.7236328,1.06789757876,79825061.8384,105.583677666,-0.0548782031983
isotropic_tau_2000fs,csvr_npt,1220,10291.8007812,1.07040172958,76067597.9849,105.513869178,-0.054798678495
isotropic_tau_2000fs,csvr_npt,1240,10304.4082031,1.07171296815,76020015.7125,102.931982259,-0.0550037110224
isotropic_tau_2000fs,csvr_npt,1260,10318.9414062,1.07322449816,75667726.9072,100.358666789,-0.0551980454475
isotropic_tau_2000fs,csvr_npt,1280,10321.9433594,1.07353671717,78202112.0205,98.356282181,-0.0553127611056
isotropic_tau_2000fs,csvr_npt,1300,10315.7050781,1.07288790292,83447177.4184,94.590479187,-0.0556131573394
isotropic_tau_2000fs,csvr_npt,1320,10342.8886719,1.07571514048,79817038.4598,94.0902971409,-0.0555389095098
isotropic_tau_2000fs,csvr_npt,1340,10359.4833984,1.07744107983,78388165.187,98.9185764937,-0.0547962142155
isotropic_tau_2000fs,csvr_npt,1360,10372.8271484,1.07882890043,76958175.9154,96.531981188,-0.0550133511424
isotropic_tau_2000fs,csvr_npt,1380,10375.0585938,1.07906098255,76346535.5147,97.8560712017,-0.0548535194248
isotropic_tau_2000fs,csvr_npt,1400,10382.28125,1.07981217701,73632819.6512,101.645592156,-0.0544276237488
isotropic_tau_2000fs,csvr_npt,1420,10400.6552734,1.08172317265,68916600.9093,102.015119273,-0.0544265108183
isotropic_tau_2000fs,csvr_npt,1440,10390.6240234,1.08067986958,72727757.0509,95.9702149055,-0.0551368705928
