time,fast_barostat_volume,fast_barostat_pressure,moderate_barostat_volume,moderate_barostat_pressure,slow_barostat_volume,slow_barostat_pressure
336,995.734418612,1.42655813885,1003.27250621,0.672749378757,999.585245986,1.04147540143
338,1001.15916958,0.884083041881,1005.21689931,0.478310069072,998.959480875,1.10405191248
340,999.839185719,1.01608142806,1005.82232241,0.417767759362,1001.67426131,0.832573868684
342,999.953576655,1.00464233452,1007.22549908,0.277450091674,1001.51679539,0.848320461011
344,996.318750996,1.36812490045,1002.72725505,0.727274494999,1001.48017174,0.851982825652
346,1003.00238705,0.699761294773,997.897179885,1.21028201148,1001.7898892,0.821011079749
348,1004.9618028,0.503819719872,998.711440397,1.12885596027,999.471245299,1.0528754701
350,1002.21299412,0.778700587512,998.005769675,1.1994230325,999.33680081,1.06631991903
352,1003.82514616,0.617485384211,1004.56488867,0.543511133222,999.736032662,1.0263967338
354,996.741056674,1.32589433263,997.942533743,1.20574662566,1000.20052238,0.979947762432
356,999.028162652,1.0971837348,1003.32237816,0.667762183623,1000.82065969,0.917934031425
358,1001.17939692,0.882060307963,1001.38065677,0.861934322739,999.834155113,1.0165844887
360,996.132520296,1.38674797038,997.987798095,1.20122019054,1000.28091926,0.971908074497
362,1001.04360218,0.895639781781,995.472213568,1.45277864321,1001.84494413,0.815505587061
364,999.372050856,1.06279491435,995.59222015,1.44077798498,996.671483463,1.33285165366
366,998.620691506,1.13793084936,995.486680878,1.4513319122,996.901534531,1.30984654694
368,1005.09840394,0.490159606056,999.296784041,1.07032159587,1000.8393287,0.916067129758
370,1003.11088112,0.68891188803,993.576227482,1.64237725176,999.080193677,1.0919806323
372,1001.65990124,0.834009875713,998.295381442,1.17046185576,999.951642809,1.00483571911
374,994.473969666,1.55260303344,998.692174062,1.13078259383,996.509804112,1.34901958879
376,998.837974724,1.11620252757,996.772856647,1.32271433525,998.27731338,1.17226866196
378,999.661522701,1.0338477299,993.388610526,1.66113894745,998.995545958,1.1004454042
380,995.217274847,1.47827251529,994.909185185,1.50908148148,1001.6350647,0.836493529798
382,1000.81815892,0.918184107715,1001.65642514,0.834357485821,1002.05546851,0.794453148984
384,999.355611199,1.0644388801,999.459251316,1.05407486837,998.985094243,1.10149057568
386,997.342916414,1.26570835863,1000.39076372,0.960923628409,1001.92080519,0.807919480525
388,1001.30498677,0.869501323095,1002.14572009,0.785427990514,1005.19319458,0.480680541506
390,995.244325613,1.47556743865,1005.73022816,0.426977184396,1002.90048022,0.709951978142
392,997.9601469,1.20398531001,1002.01930267,0.798069732535,1002.89440518,0.710559482141
394,998.548017696,1.14519823039,999.940603943,1.0059396057,1005.61734702,0.438265298461
