true_x,true_pmf,dense_windows_x,dense_windows_pmf,dense_windows_replica_pmf,dense_windows_replica_abs_difference,sparse_windows_x,sparse_windows_pmf,sparse_windows_replica_pmf,sparse_windows_replica_abs_difference,pair_distance_umbrella_x,pair_distance_umbrella_pmf,pair_distance_umbrella_replica_pmf,pair_distance_umbrella_replica_abs_difference,pair_distance_umbrella_true_pmf,pair_distance_umbrella_interaction_pmf,pair_distance_umbrella_true_interaction_pmf
-0.68,0.28901376,-0.68,0.327129605255,0.298599820943,0.0285297843122,-0.68,0.369588488821,0.546993358705,0.177404869884,7.55,0.00405177790579,0.00146935040666,0.00742550503578,0.00219759595792,0.0123427677889,0.00996239513533
-0.64,0.34857216,-0.64,0.371852256952,0.395953089963,0.0241008330109,-0.64,0.484584442532,0.585059986259,0.100475543728,7.65,0.00162282376567,0.000938022498327,0.00239688241083,0.00199677682549,0.0101405887716,0.00998835112572
-0.6,0.4096,-0.6,0.413152587898,0.434626445194,0.0214738572965,-0.6,0.573752548086,0.623703296856,0.0499507487704,7.75,0.00244110810107,0.00211283581333,0.00161880315214,0.0017966624073,0.011182703015,0.0100120666155
-0.56,0.47114496,-0.56,0.480657979793,0.511839266154,0.0311812863613,-0.56,0.61116803822,0.714901402812,0.103733364592,7.85,0.00140282418636,0.00233217368947,0.000891273869234,0.00159739381898,0.010365379315,0.0100337582419
-0.52,0.53231616,-0.52,0.56474641722,0.566056257533,0.00130984031298,-0.52,0.727159746293,0.743922300507,0.0167625542136,7.95,0,0.000968734705677,0.000968734705677,0.00139909201985,0.00918071830337,0.0100536196176
-0.48,0.59228416,-0.48,0.604622184272,0.657836650673,0.0532144664009,-0.48,0.667099270199,0.796549781075,0.129450510875,8.05,0.00185671798477,0.00338597357031,0.00199065087139,0.00120186031399,0.0112528723518,0.0100718239753
-0.44,0.65028096,-0.44,0.720562055111,0.636236076791,0.0843259783197,-0.44,0.743013125932,0.87632412377,0.133310997837,8.15,8.91808827753e-05,0,0.0011213420159,0.00100578653745,0.0096981115409,0.0100885264899
-0.4,0.7056,-0.4,0.715978465029,0.731430530452,0.0154520654234,-0.4,0.69708879799,0.955796754003,0.258707956013,8.25,0.000608281760292,0.00153040907706,0.000892236712813,0.000810944971992,0.010427393812,0.0101038663181
-0.36,0.75759616,-0.36,0.789756084586,0.794650976671,0.00489489208509,-0.36,0.793330810416,1.03367150217,0.240340691753,8.35,0.00282019963959,0.00781201737832,0.00744899928764,0.000617398020364,0.0128469607173,0.0101179683924
-0.32,0.80568576,-0.32,0.839013450221,0.825839447243,0.0131740029774,-0.32,0.877905263533,1.25654903546,0.378643771923,8.45,0.00396736814323,0.010876021496,0.0100651842176,0.000425197673954,0.014199306176,0.0101309450011
-0.28,0.84934656,-0.28,0.868305154008,0.912224577305,0.0439194232972,-0.28,0.83012817195,1.2515314166,0.421403244649,8.55,0.00537423709057,0.00690739349685,0.00202382206065,0.000398507018221,0.0158089381759,0.0103070173979
-0.24,0.88811776,-0.24,0.956656859098,0.943140017716,0.0135168413816,-0.24,0.875987204681,1.32587801207,0.449890807384,8.65,0.00786968039424,0.0129629496059,0.00762626358913,0.000198101729066,0.0185047867687,0.0103070173979
-0.2,0.9216,-0.2,0.996640655724,0.939445350992,0.0571953047324,-0.2,0.762637042601,1.7282495196,0.965612476998,8.75,0.00963660270482,0.0121552251324,0.0037239100816,0,0.0204698108084,0.0103070173979
-0.16,0.94945536,-0.16,0.995660084554,0.996974584452,0.00131449989744,-0.16,0.853075025085,1.22255404284,0.369479017755,,,,,,,
-0.12,0.97140736,-0.12,1.02372684334,1.00997908738,0.0137477559543,-0.12,1.09042508638,1.59044784604,0.500022759665,,,,,,,
-0.08,0.98724096,-0.08,1.03385367673,1.0461842048,0.0123305280654,-0.08,0.868601613525,1.47316020619,0.604558592663,,,,,,,
-0.04,0.99680256,-0.04,1.04733417144,1.05863747789,0.0113033064473,-0.04,0.972509154932,1.08451136988,0.112002214945,,,,,,,
2.22044604925e-15,1,2.22044604925e-15,1.07029692561,0.994747183669,0.0755497419423,2.22044604925e-15,0.806937286227,1.38777888055,0.580841594326,,,,,,,
0.04,0.99680256,0.04,1.06108709977,1.07125732306,0.0101702232909,0.04,0.744630748563,1.17419479161,0.429564043046,,,,,,,
0.08,0.98724096,0.08,1.01064264538,1.03353478169,0.0228921363112,0.08,1.4899953988,0.926074353083,0.563921045718,,,,,,,
0.12,0.97140736,0.12,1.0459022857,0.990067693799,0.0558345918981,0.12,0.825782777729,0.729526669827,0.0962561079014,,,,,,,
0.16,0.94945536,0.16,1.02335803075,0.992300741781,0.0310572889672,0.16,0.430644497249,0.969885253363,0.539240756114,,,,,,,
0.2,0.9216,0.2,0.984194697813,0.985384201771,0.00118950395806,0.2,0.982981339348,0.778925246403,0.204056092945,,,,,,,
0.24,0.88811776,0.24,0.914122262843,0.979045975396,0.0649237125534,0.24,1.00619343236,0.906063107311,0.100130325047,,,,,,,
0.28,0.84934656,0.28,0.928797222589,0.896966671259,0.0318305513291,0.28,0.944728465251,0.823981841788,0.120746623463,,,,,,,
