step,replica_0_potential_energy_per_atom,replica_1_potential_energy_per_atom,replica_2_potential_energy_per_atom,replica_3_potential_energy_per_atom,replica_4_potential_energy_per_atom,replica_0_coordination_number,replica_1_coordination_number,replica_2_coordination_number,replica_3_coordination_number,replica_4_coordination_number
1420,-5.46877879748,-5.67666019314,-5.57675745783,-5.57676369426,-5.64107828659,12.2777777778,12.462962963,12.5185185185,12.3703703704,12.3148148148
1440,-5.42322638821,-5.6419964221,-5.58957255345,-5.57626804822,-5.60769570106,12.3333333333,12.5185185185,12.4444444444,12.4074074074,12.4444444444
1460,-5.54137262669,-5.61795118877,-5.59943574959,-5.57420994241,-5.69793058079,12.3518518519,12.6481481481,12.3333333333,12.4259259259,12.3518518519
1480,-5.53687771016,-5.61788262867,-5.53930868008,-5.46391614299,-5.70626196457,12.2037037037,12.537037037,12.3333333333,12.4074074074,12.3518518519
1500,-5.48262071557,-5.55347624833,-5.53085038532,-5.46702021783,-5.56243193229,12.3333333333,12.4814814815,12.3888888889,12.4444444444,12.3518518519
1520,-5.41132211385,-5.56878656207,-5.47246631515,-5.56795975068,-5.57766515843,12.3518518519,12.4444444444,12.3148148148,12.3703703704,12.2407407407
1540,-5.39195373157,-5.56863960314,-5.54084838786,-5.53232612001,-5.71183936609,12.3518518519,12.4074074074,12.3148148148,12.3333333333,12.2592592593
1560,-5.48773361104,-5.59926170665,-5.59176463386,-5.53625165785,-5.57573143643,12.4074074074,12.4814814815,12.3703703704,12.3518518519,12.2592592593
1580,-5.57058076248,-5.60357586439,-5.55760312208,-5.46210369743,-5.46699549233,12.3518518519,12.4814814815,12.3518518519,12.3518518519,12.2222222222
1600,-5.47055271444,-5.57089775572,-5.54768412518,-5.52978473615,-5.55399293206,12.2037037037,12.462962963,12.3148148148,12.1481481481,12.3703703704
1620,-5.42885913526,-5.54502406752,-5.53477264851,-5.49401409646,-5.52965940697,12.2777777778,12.462962963,12.2962962963,12.0925925926,12.1666666667
1640,-5.49028663682,-5.63273638204,-5.46990172091,-5.46575874149,-5.53499411722,12.2222222222,12.5185185185,12.2962962963,12.2037037037,12.1481481481
1660,-5.49388162536,-5.71092048009,-5.54229067543,-5.50271737547,-5.51634704122,12.3148148148,12.4444444444,12.3888888889,12.2962962963,12.2407407407
1680,-5.39440144431,-5.59025232018,-5.54914942351,-5.51667859313,-5.47491640639,12.2407407407,12.4259259259,12.2592592593,12.4444444444,12.2407407407
1700,-5.29471647604,-5.56972436358,-5.45134039459,-5.44851886258,-5.44090837159,12.2592592593,12.4259259259,12.2407407407,12.3333333333,12.2407407407
1720,-5.33340294288,-5.54438851029,-5.47444455544,-5.4316683166,-5.48289671896,12.2222222222,12.4074074074,12.3703703704,12.1666666667,12.3333333333
1740,-5.37914055335,-5.5681850584,-5.52405262694,-5.4200092823,-5.47158545779,12.1111111111,12.3518518519,12.4814814815,12.1296296296,12.3148148148
1760,-5.36703566722,-5.56415300235,-5.51079395456,-5.43252446336,-5.53009335017,12,12.3148148148,12.4444444444,12.037037037,12.2222222222
