thermostat,replica_index,time,relative_energy_error
weak_argon_langevin,1,2.34,8.65076309131e-06
weak_argon_langevin,1,2.37,2.19799390412e-05
weak_argon_langevin,1,2.4,3.15787355986e-05
weak_argon_langevin,1,2.43,1.79348949734e-05
weak_argon_langevin,1,2.46,2.87771536427e-05
weak_argon_langevin,1,2.49,3.73084865121e-06
weak_argon_langevin,1,2.52,2.4743204307e-05
weak_argon_langevin,1,2.55,1.28725059568e-05
weak_argon_langevin,1,2.58,-1.5056299324e-06
weak_argon_langevin,1,2.61,2.49759944054e-05
weak_argon_langevin,1,2.64,4.48043072736e-06
weak_argon_langevin,1,2.67,2.20837525967e-05
weak_argon_langevin,1,2.7,1.33457964723e-05
weak_argon_langevin,1,2.73,8.71754128327e-06
weak_argon_langevin,1,2.76,1.35227282917e-05
weak_argon_langevin,1,2.79,5.53998320002e-07
weak_argon_langevin,1,2.82,2.98368830169e-05
weak_argon_langevin,1,2.85,-1.9849425022e-06
weak_argon_langevin,1,2.88,2.03569984365e-05
weak_argon_langevin,1,2.91,2.41726476112e-05
weak_argon_langevin,1,2.94,1.41547366999e-05
weak_argon_langevin,1,2.97,9.92832765547e-06
weak_argon_langevin,1,3,1.57479879995e-05
weak_argon_langevin,2,0,0
weak_argon_langevin,2,0.03,1.76683865911e-05
weak_argon_langevin,2,0.06,2.96317706231e-05
weak_argon_langevin,2,0.09,3.42439804104e-06
weak_argon_langevin,2,0.12,7.04353321464e-06
weak_argon_langevin,2,0.15,3.15924793605e-05
weak_argon_langevin,2,0.18,3.3686282963e-05
weak_argon_langevin,2,0.21,1.94682971305e-05
weak_argon_langevin,2,0.24,2.06782034117e-05
weak_argon_langevin,2,0.27,1.9513618101e-05
weak_argon_langevin,2,0.3,2.21974987532e-05
weak_argon_langevin,2,0.33,3.77763097326e-05
weak_argon_langevin,2,0.36,1.72732957972e-05
weak_argon_langevin,2,0.39,2.63499454197e-05
weak_argon_langevin,2,0.42,3.430112535e-05
weak_argon_langevin,2,0.45,8.55120521658e-06
weak_argon_langevin,2,0.48,1.83002836489e-05
weak_argon_langevin,2,0.51,3.12928561095e-05
weak_argon_langevin,2,0.54,5.68944207121e-06
weak_argon_langevin,2,0.57,2.00503838026e-05
weak_argon_langevin,2,0.6,1.95176512468e-05
weak_argon_langevin,2,0.63,2.43670312751e-05
